Month;ALUMINUM ($/mt);IRON_ORE ($/dmtu);COPPER ($/mt);LEAD ($/mt);Tin ($/mt);NICKEL ($/mt);Zinc ($/mt);GOLD ($/troy oz);PLATINUM ($/troy oz);SILVER ($/troy oz)
1990M03;1567,39;32,50;2625,61;1062,30;6270,50;9266,80;1607,40;393,06;497,06;5,08
1990M04;1525,55;32,50;2686,15;836,10;6390,90;8939,50;1685,60;374,24;478,15;5,07
1990M05;1526,93;32,50;2741,95;825,60;6324,60;8698,00;1774,60;369,05;488,55;5,08
1990M06;1565,79;32,50;2584,56;838,00;6096,00;8422,10;1714,80;352,33;481,11;4,92
1990M07;1570,96;32,50;2769,49;875,40;5924,40;9318,20;1637,00;362,53;478,79;4,87
1990M08;1782,02;32,50;2957,03;876,10;5905,20;10957,40;1615,10;394,73;492,73;5,01
1990M09;2066,53;32,50;3031,37;838,50;5707,00;10844,00;1537,50;389,32;461,66;4,80
1990M10;1945,70;32,50;2743,56;760,90;6061,40;9145,40;1352,60;380,74;424,95;4,39
1990M11;1617,50;32,50;2585,89;701,20;5981,30;8587,40;1277,70;381,73;422,24;4,17
1990M12;1522,44;32,50;2485,38;624,80;5615,20;8157,60;1265,40;376,95;420,07;4,08
1991M01;1515,18;34,76;2448,52;600,40;5623,20;8568,80;1206,20;383,64;407,84;4,05
1991M02;1504,60;34,76;2449,38;593,80;5583,70;8672,30;1188,10;363,83;386,79;3,74
1991M03;1496,00;34,76;2409,63;603,00;5517,40;8700,80;1198,60;363,34;399,99;3,94
1991M04;1391,86;34,76;2472,04;600,90;5560,00;9021,00;1252,90;358,38;396,88;3,98
1991M05;1296,05;34,76;2305,88;555,20;5701,70;8452,40;1090,90;356,95;389,64;4,05
1991M06;1275,15;34,76;2219,28;549,40;5710,60;8280,00;1061,60;366,72;376,05;4,39
1991M07;1296,78;34,76;2236,28;548,10;5669,60;8541,30;1063,10;367,69;376,03;4,35
1991M08;1256,45;34,76;2233,19;540,20;5638,80;8144,70;1046,30;356,31;346,35;3,96
1991M09;1211,81;34,76;2324,57;539,80;5570,30;7680,70;1023,20;348,74;349,34;4,04
1991M10;1150,03;34,76;2363,64;522,30;5549,60;7443,00;991,70;358,69;362,48;4,12
1991M11;1134,80;34,76;2379,84;506,20;5505,50;7244,60;1093,30;360,17;365,11;4,07
1991M12;1097,55;34,76;2223,14;532,10;5510,10;7117,80;1188,00;361,73;353,30;3,94
1992M01;1177,07;33,10;2139,23;514,90;5476,90;7517,30;1153,70;354,45;341,19;4,11
1992M02;1266,83;33,10;2205,97;505,00;5615,70;7861,90;1130,70;353,91;362,12;4,15
1992M03;1280,47;33,10;2227,33;521,20;5632,00;7417,70;1214,60;344,34;356,94;4,11
1992M04;1317,05;33,10;2215,33;532,80;5838,90;7420,60;1304,30;338,62;347,30;4,05
1992M05;1306,79;33,10;2216,52;520,30;6121,10;7326,80;1372,90;337,24;358,59;4,07
1992M06;1275,55;33,10;2299,20;548,10;6618,80;7192,80;1385,20;340,81;369,13;4,06
1992M07;1313,05;33,10;2520,32;626,10;6989,40;7497,90;1320,20;352,72;383,12;3,97
1992M08;1305,05;33,10;2521,64;654,50;6780,40;7268,00;1360,40;343,06;359,55;3,81
1992M09;1269,61;33,10;2414,06;621,10;6643,20;6917,50;1366,90;345,43;362,14;3,77
1992M10;1173,78;33,10;2249,15;537,40;6016,70;6305,30;1163,60;344,38;358,07;3,75
1992M11;1159,05;33,10;2158,32;460,40;5723,00;5564,88;1046,90;335,02;356,11;3,77
1992M12;1207,10;33,10;2206,82;454,60;5756,20;5724,07;1057,90;334,82;361,97;3,73
1993M01;1206,76;29,09;2256,85;436,50;5900,90;5930,93;1061,10;329,01;359,14;3,68
1993M02;1201,85;29,09;2212,60;414,00;5790,90;6038,68;1072,10;329,31;359,02;3,66
1993M03;1151,33;29,09;2152,59;405,90;5659,40;5971,30;996,10;330,08;350,46;3,65
1993M04;1108,53;29,09;1949,88;420,70;5590,90;5972,33;1004,60;342,15;368,01;3,95
1993M05;1123,96;29,09;1794,50;407,20;5503,50;5762,55;980,40;367,18;385,16;4,46
1993M06;1165,30;29,09;1853,42;393,90;5112,70;5532,43;926,00;371,89;383,02;4,38
1993M07;1202,13;29,09;1927,16;388,20;4972,60;5036,20;927,60;392,19;403,65;5,02
1993M08;1172,14;29,09;1947,45;388,40;4809,30;4721,81;884,00;378,84;391,90;4,84
1993M09;1115,38;29,09;1861,86;375,70;4493,60;4352,89;874,20;355,28;362,46;4,22
1993M10;1087,10;29,09;1646,40;384,30;4681,10;4448,90;914,90;364,18;367,91;4,34
1993M11;1039,81;29,09;1630,02;400,30;4640,90;4633,89;928,40;373,83;374,41;4,53
1993M12;1094,30;29,09;1724,19;461,20;4777,90;5119,12;974,40;383,30;383,17;4,97
1994M01;1174,59;26,47;1805,35;490,10;4942,80;5577,95;996,70;386,88;387,80;5,15
1994M02;1269,93;26,47;1866,40;485,40;5443,40;5824,95;968,90;381,91;394,02;5,25
1994M03;1289,03;26,47;1914,87;451,50;5405,40;5587,54;935,90;384,13;400,28;5,44
1994M04;1278,72;26,47;1881,82;439,90;5385,70;5407,97;923,60;377,27;397,90;5,35
1994M05;1322,59;26,47;2150,60;473,50;5504,40;6086,65;955,60;381,43;398,01;5,42
1994M06;1400,58;26,47;2364,20;525,10;5509,20;6281,84;966,20;385,64;401,09;5,39
1994M07;1492,42;26,47;2458,19;580,10;5311,20;6226,76;964,00;385,49;411,95;5,28
1994M08;1455,36;26,47;2406,23;570,80;5161,50;5859,50;944,90;380,36;412,19;5,20
1994M09;1569,22;26,47;2505,93;613,50;5321,10;6364,75;992,40;391,58;417,28;5,52
1994M10;1698,05;26,47;2547,67;641,80;5473,60;6748,29;1058,50;389,77;419,40;5,45
1994M11;1892,59;26,47;2802,45;667,20;6161,10;7556,14;1151,70;384,39;412,37;5,19
1994M12;1878,31;26,47;2985,30;634,30;5946,80;8555,50;1114,30;379,29;410,85;4,78
1995M01;2060,55;28,38;3008,93;666,60;6199,30;9592,55;1156,50;378,55;413,90;4,77
1995M02;1916,15;28,38;2877,65;579,90;5478,30;8505,45;1032,20;376,64;413,97;4,72
1995M03;1805,07;28,38;2924,04;585,60;5532,40;7531,91;1022,20;382,12;416,89;4,65
1995M04;1849,00;28,38;2903,50;608,50;5872,10;7397,83;1061,40;391,03;448,29;5,48
1995M05;1762,69;28,38;2773,31;596,50;5926,50;7232,19;1036,20;385,22;437,35;5,56
1995M06;1780,05;28,38;2994,64;611,80;6670,70;7871,57;1009,60;387,56;438,53;5,36
1995M07;1860,10;28,38;3075,67;621,90;6668,90;8596,57;1026,80;386,23;433,63;5,16
1995M08;1888,32;28,38;3036,84;623,60;6992,30;8944,66;1014,40;383,67;425,34;5,40
1995M09;1760,83;28,38;2915,52;592,70;6328,10;8405,21;986,20;383,06;429,65;5,43
1995M10;1674,32;28,38;2813,55;639,10;6220,70;8061,73;979,10;383,14;412,66;5,37
1995M11;1654,07;28,38;2977,36;713,60;6386,90;8505,91;1030,70;385,31;413,12;5,32
1995M12;1656,74;28,38;2926,26;731,60;6289,50;8090,89;1018,10;387,44;408,71;5,18
1996M01;1589,34;30,00;2616,41;709,50;6271,60;7862,05;1019,10;399,45;415,48;5,46
1996M02;1591,55;30,00;2537,71;769,70;6195,50;8215,55;1035,80;404,76;420,21;5,66
1996M03;1612,48;30,00;2561,02;817,90;6196,40;8021,74;1063,90;396,21;411,19;5,52
1996M04;1587,23;30,00;2595,78;815,00;6480,90;8042,85;1045,40;392,85;404,39;5,42
1996M05;1589,26;30,00;2658,26;840,20;6412,40;8026,55;1035,80;391,93;401,42;5,37
1996M06;1482,48;30,00;2173,40;796,50;6191,90;7709,48;1008,50;385,27;392,25;5,16
1996M07;1458,70;30,00;1985,57;783,70;6250,20;7203,65;1000,10;383,47;393,66;5,07
1996M08;1463,36;30,00;2008,57;815,70;6110,20;7054,36;1006,90;387,35;400,03;5,14
1996M09;1407,38;30,00;1941,45;796,40;6101,90;7318,05;1000,30;383,14;389,86;5,04
1996M10;1336,34;30,00;1961,17;741,90;5941,90;7031,39;1003,10;381,07;384,18;4,93
1996M11;1449,52;30,00;2230,86;716,60;5991,70;6943,38;1046,50;377,85;381,98;4,83
1996M12;1500,29;30,00;2268,08;688,80;5836,30;6580,75;1036,30;369,00;370,70;4,83
1997M01;1575,61;30,15;2434,93;692,30;5877,70;7071,55;1086,50;355,11;360,10;4,77
1997M02;1580,01;30,15;2405,85;660,20;5883,20;7734,53;1179,40;346,58;365,01;5,07
1997M03;1631,57;30,15;2421,29;694,60;5909,20;7895,87;1254,80;351,81;378,90;5,20
1997M04;1561,44;30,15;2391,18;642,50;5713,30;7315,52;1240,40;344,47;371,08;4,77
1997M05;1625,25;30,15;2514,33;618,60;5711,20;7482,85;1310,50;343,84;387,50;4,75
1997M06;1567,55;30,15;2612,62;614,90;5566,10;7062,48;1354,20;340,76;430,76;4,76
1997M07;1591,99;30,15;2450,46;634,30;5442,70;6835,50;1518,00;324,10;415,52;4,37
1997M08;1710,58;30,15;2251,20;608,10;5428,40;6761,30;1653,50;324,01;424,55;4,50
1997M09;1610,60;30,15;2107,30;634,30;5496,30;6503,84;1640,90;322,82;424,73;4,73
1997M10;1607,86;30,15;2052,26;600,30;5561,30;6380,33;1280,10;324,87;423,12;5,03
1997M11;1598,99;30,15;1917,45;563,40;5658,00;6139,50;1173,00;306,04;392,29;5,08
1997M12;1530,51;30,15;1762,33;526,60;5513,80;5945,36;1102,20;288,74;365,42;5,84
1998M01;1485,79;31,00;1688,45;531,60;5206,30;5491,75;1097,20;289,10;373,86;5,89
1998M02;1465,56;31,00;1664,80;516,40;5242,50;5386,88;1044,00;297,49;386,08;6,81
1998M03;1437,70;31,00;1747,98;559,80;5476,80;5395,80;1047,60;295,94;398,99;6,24
1998M04;1418,16;31,00;1800,90;572,70;5714,80;5393,88;1097,00;308,29;413,75;6,34
1998M05;1364,72;31,00;1732,53;543,50;5874,70;5020,00;1061,10;299,10;388,90;5,58
1998M06;1307,24;31,00;1660,52;528,30;5970,00;4475,70;1009,80;292,32;355,43;5,26
1998M07;1309,21;31,00;1651,04;546,20;5653,70;4325,43;1040,30;292,87;378,43;5,46
1998M08;1310,90;31,00;1620,93;536,70;5691,50;4080,63;1029,80;284,11;369,18;5,18
1998M09;1342,27;31,00;1647,64;520,20;5485,70;4102,16;1000,00;288,98;361,15;5,00
1998M10;1304,06;31,00;1586,39;492,80;5432,10;3871,93;940,50;295,93;342,60;5,01
1998M11;1294,96;31,00;1573,95;494,20;5478,30;4131,91;967,10;294,12;347,18;4,97
1998M12;1249,06;31,00;1473,57;501,30;5257,60;3878,21;959,20;291,68;351,79;4,88
1999M01;1218,46;27,59;1431,18;492,30;5109,80;4268,75;932,80;287,08;355,11;5,14
1999M02;1186,85;27,59;1410,78;513,70;5268,50;4626,38;1017,30;287,33;364,07;5,53
1999M03;1181,59;27,59;1378,35;507,80;5360,20;5011,30;1030,00;285,96;369,93;5,19
1999M04;1278,20;27,59;1466,00;519,30;5393,00;5102,63;1019,00;282,62;357,15;5,06
1999M05;1323,46;27,59;1511,16;541,50;5649,20;5399,34;1040,30;276,44;356,01;5,26
1999M06;1315,31;27,59;1422,48;496,10;5265,90;5195,00;1000,50;261,31;356,78;5,03
1999M07;1403,76;27,59;1640,00;495,80;5230,00;5700,11;1072,10;256,08;349,06;5,18
1999M08;1431,32;27,59;1647,62;503,10;5230,20;6448,69;1130,60;256,69;350,06;5,26
1999M09;1492,48;27,59;1750,34;507,30;5342,50;7028,41;1193,80;264,74;370,93;5,21
1999M10;1474,41;27,59;1724,12;497,10;5430,70;7321,19;1148,70;310,72;421,14;5,41
1999M11;1472,76;27,59;1727,55;478,30;5842,10;7949,55;1147,20;293,18;434,02;5,15
1999M12;1554,48;27,59;1764,75;479,10;5721,30;8083,38;1183,80;283,07;439,13;5,16
2000M01;1680,28;28,79;1843,98;472,10;5927,80;8309,50;1178,80;284,32;441,00;5,19
2000M02;1670,27;28,79;1800,83;452,40;5642,10;9653,33;1094,90;299,86;519,71;5,25
2000M03;1577,05;28,79;1739,39;441,30;5457,80;10280,11;1116,40;286,39;479,33;5,06
2000M04;1457,14;28,79;1678,75;421,10;5384,40;9727,50;1127,60;279,69;497,55;5,06
2000M05;1466,79;28,79;1785,62;412,10;5451,20;10130,24;1156,90;275,19;525,89;4,98
2000M06;1506,31;28,79;1753,18;419,60;5456,80;8410,91;1117,90;285,73;559,73;5,00
2000M07;1563,50;28,79;1799,36;452,10;5343,80;8164,41;1136,20;281,59;560,29;4,97
2000M08;1527,63;28,79;1855,86;473,10;5304,80;8006,71;1169,80;274,47;577,61;4,89
2000M09;1601,21;28,79;1960,41;487,10;5474,30;8637,98;1224,40;273,68;591,90;4,89
2000M10;1500,24;28,79;1898,59;486,10;5282,30;7678,07;1095,90;270,00;579,72;4,83
2000M11;1473,86;28,79;1795,11;468,00;5269,50;7339,77;1059,00;266,01;593,34;4,68
2000M12;1565,41;28,79;1850,55;462,30;5233,70;7314,34;1059,80;271,45;609,50;4,64
2001M01;1615,65;30,03;1787,50;478,10;5170,50;6994,77;1033,10;265,49;620,47;4,66
2001M02;1604,36;30,03;1765,65;501,80;5121,80;6524,13;1020,90;261,87;600,92;4,56
2001M03;1509,17;30,03;1738,77;498,40;5046,40;6133,52;1004,70;263,03;584,23;4,40
2001M04;1496,91;30,03;1664,16;477,50;4949,20;6329,87;969,40;260,48;594,86;4,37
2001M05;1538,77;30,03;1682,21;466,70;4945,00;7060,83;938,00;272,36;610,70;4,43
2001M06;1466,13;30,03;1608,45;444,10;4828,30;6641,19;894,90;270,23;579,72;4,37
2001M07;1416,39;30,03;1525,21;461,60;4350,90;5937,05;852,40;267,53;530,84;4,25
2001M08;1377,08;30,03;1464,43;483,00;3895,70;5520,80;828,10;272,39;451,70;4,22
2001M09;1344,56;30,03;1426,33;464,80;3694,50;5027,00;798,60;283,42;457,90;4,35
2001M10;1282,50;30,03;1377,28;468,10;3750,70;4825,33;761,50;283,06;431,39;4,40
2001M11;1327,46;30,03;1427,73;486,50;4041,80;5078,41;772,90;276,16;429,89;4,12
2001M12;1344,63;30,03;1471,74;483,30;4018,50;5263,82;754,70;275,85;461,73;4,37
2002M01;1368,59;29,31;1503,96;513,10;3861,90;6043,18;793,20;281,51;472,11;4,51
2002M02;1369,34;29,31;1561,90;480,00;3730,80;6029,25;771,30;295,50;471,15;4,42
2002M03;1405,00;29,31;1604,88;480,20;3842,80;6537,50;819,30;294,06;512,05;4,54
2002M04;1369,99;29,31;1590,33;472,40;4023,60;6958,21;808,20;302,68;539,20;4,58
2002M05;1343,30;29,31;1595,68;451,90;4149,80;6761,36;769,50;314,49;533,85;4,70
2002M06;1353,97;29,31;1647,53;440,00;4286,10;7119,86;767,10;321,18;554,70;4,90
2002M07;1338,09;29,31;1589,46;446,10;4331,30;7142,72;794,90;313,29;526,20;4,92
2002M08;1291,60;29,31;1479,55;423,20;3834,00;6717,14;747,60;310,26;544,84;4,54
2002M09;1301,25;29,31;1478,71;421,30;3957,40;6640,24;756,20;319,14;556,33;4,55
2002M10;1310,58;29,31;1483,76;418,20;4241,50;6804,46;754,70;316,56;580,20;4,40
2002M11;1372,20;29,31;1582,29;442,20;4230,00;7313,93;765,30;319,07;588,10;4,51
2002M12;1375,07;29,31;1595,68;443,60;4236,80;7193,16;797,70;331,92;595,44;4,63
2003M01;1378,28;31,95;1647,66;444,66;4435,68;8026,02;781,41;356,86;627,91;4,81
2003M02;1422,16;31,95;1683,80;475,83;4570,75;8623,00;785,15;358,97;681,70;4,66
2003M03;1389,27;31,95;1658,98;456,67;4604,52;8378,81;790,95;340,55;674,33;4,53
2003M04;1332,01;31,95;1587,48;437,38;4565,75;7910,13;754,65;328,18;624,91;4,49
2003M05;1398,49;31,95;1648,28;463,50;4736,75;8330,63;775,65;355,68;650,36;4,74
2003M06;1409,85;31,95;1686,50;468,02;4694,76;8874,76;790,69;356,35;661,67;4,53
2003M07;1436,09;31,95;1710,00;514,78;4739,35;8797,39;827,54;351,02;681,52;4,80
2003M08;1456,31;31,95;1760,28;496,53;4822,50;9351,38;817,88;359,77;692,19;4,99
2003M09;1415,57;31,95;1789,52;521,27;4911,59;9965,34;818,18;378,95;705,25;5,17
2003M10;1474,25;31,95;1920,54;587,33;5236,74;11047,17;897,96;378,92;732,48;5,00
2003M11;1508,34;31,95;2055,43;622,33;5362,75;12086,50;914,53;389,91;760,38;5,18
2003M12;1554,91;31,95;2201,29;692,07;6057,62;14162,50;977,76;406,95;807,87;5,63
2004M01;1606,49;37,90;2423,57;758,38;6485,00;15326,55;1017,00;413,79;849,93;6,30
2004M02;1685,63;37,90;2759,53;888,48;6672,75;15145,13;1087,68;404,88;846,32;6,44
2004M03;1655,99;37,90;3008,72;886,48;7619,78;13715,00;1105,78;406,67;899,76;7,23
2004M04;1729,74;37,90;2948,73;753,68;8955,75;12848,13;1032,73;403,26;880,64;7,15
2004M05;1623,22;37,90;2733,50;808,90;9459,47;11118,29;1028,29;383,78;809,83;5,87
2004M06;1677,72;37,90;2686,71;870,32;9204,77;13533,52;1021,46;392,37;807,55;5,86
2004M07;1709,27;37,90;2808,43;939,59;9044,32;15023,30;988,32;398,09;809,52;6,31
2004M08;1692,19;37,90;2846,10;921,81;9021,91;13679,52;975,81;400,51;848,68;6,66
2004M09;1723,60;37,90;2894,86;935,46;9019,55;13270,91;975,18;405,28;847,89;6,40
2004M10;1819,57;37,90;3012,24;932,76;9045,24;14404,29;1064,95;420,46;841,43;7,10
2004M11;1813,90;37,90;3122,80;967,80;9070,46;14045,46;1095,64;439,38;854,41;7,49
2004M12;1849,18;37,90;3145,45;974,91;8553,81;13768,81;1180,21;442,08;848,24;7,09
2005M01;1834,43;65,00;3170,00;953,15;7735,75;14505,00;1246,38;424,03;859,07;6,62
2005M02;1882,85;65,00;3253,70;977,55;8088,75;15349,50;1326,18;423,35;864,32;7,03
2005M03;1979,85;65,00;3379,49;1004,00;8407,39;16190,65;1372,15;433,85;866,83;7,23
2005M04;1894,29;65,00;3394,48;985,76;8143,81;16141,91;1300,14;429,23;864,86;7,12
2005M05;1743,70;65,00;3249,10;988,08;8125,00;16931,50;1243,63;421,87;866,23;7,02
2005M06;1731,30;65,00;3524,07;986,07;7618,86;16159,55;1275,73;430,66;880,09;7,31
2005M07;1778,79;65,00;3614,21;854,48;7169,29;14580,71;1194,43;424,48;873,67;7,01
2005M08;1867,84;65,00;3797,75;887,02;7188,86;14892,73;1298,39;437,93;898,43;7,03
2005M09;1839,91;65,00;3857,84;933,07;6783,86;14228,18;1397,52;456,05;914,64;7,15
2005M10;1928,71;65,00;4059,76;1004,76;6422,86;12402,86;1488,38;469,90;931,00;7,67
2005M11;2050,59;65,00;4269,34;1018,41;6160,00;12115,68;1610,93;476,67;962,61;7,87
2005M12;2247,45;65,00;4576,78;1124,08;6713,50;13429,25;1821,83;510,10;976,59;8,63
2006M01;2377,86;67,20;4734,33;1256,33;7051,43;14555,24;2090,31;549,86;1026,05;9,14
2006M02;2455,33;65,20;4982,40;1277,05;7826,25;14978,75;2219,38;555,00;1041,50;9,53
2006M03;2429,13;66,70;5102,85;1192,09;7939,57;14897,39;2416,91;557,09;1041,09;10,38
2006M04;2621,11;67,30;6387,78;1170,42;8853,06;17942,22;3084,78;610,65;1098,75;12,61
2006M05;2861,48;67,30;8045,86;1166,86;8837,38;21077,14;3565,69;675,39;1260,83;13,38
2006M06;2477,34;69,30;7197,61;963,86;7896,36;20754,55;3225,68;596,15;1188,55;10,80
2006M07;2512,71;70,50;7712,10;1052,38;8418,57;26586,19;3339,86;633,71;1228,83;11,23
2006M08;2459,93;69,80;7695,66;1174,14;8502,05;30743,64;3347,30;632,59;1233,52;12,19
2006M09;2472,88;70,00;7602,36;1342,38;9039,29;30130,71;3403,02;598,19;1183,60;11,68
2006M10;2654,59;71,70;7500,39;1531,14;9768,18;32702,96;3822,96;585,78;1082,45;11,56
2006M11;2702,80;73,50;7029,18;1624,52;10079,09;32113,86;4382,23;627,83;1183,00;12,93
2006M12;2813,63;73,50;6675,11;1725,50;11158,68;34570,26;4405,40;629,79;1121,19;13,28
2007M01;2809,34;78,20;5669,66;1666,09;11361,82;36811,14;3786,68;631,17;1146,65;12,84
2007M02;2832,20;82,66;5676,45;1779,60;12933,25;41184,25;3309,50;664,75;1204,55;13,91
2007M03;2761,73;88,55;6452,48;1914,05;13892,96;46324,77;3271,30;654,90;1218,77;13,18
2007M04;2814,79;91,26;7766,47;2000,95;14052,90;50266,84;3557,47;679,37;1275,81;13,72
2007M05;2792,75;102,02;7681,42;2101,25;14140,00;52179,05;3831,26;667,31;1300,65;13,15
2007M06;2676,93;103,21;7474,38;2425,20;14099,76;41718,57;3602,85;655,66;1286,24;13,14
2007M07;2732,44;106,09;7972,57;3082,76;14737,84;33425,68;3545,58;665,38;1303,02;12,91
2007M08;2515,77;121,89;7513,50;3119,46;15174,32;27652,27;3252,52;665,41;1263,61;12,33
2007M09;2391,25;148,65;7648,98;3226,55;15023,00;29537,50;2881,40;712,65;1307,65;12,83
2007M10;2442,37;168,11;8008,44;3719,72;16071,30;31055,44;2975,33;754,60;1410,70;13,67
2007M11;2506,89;195,09;6966,71;3328,18;16691,82;30610,23;2541,32;806,25;1448,73;14,70
2007M12;2381,69;190,12;6587,67;2596,03;16263,06;25991,94;2353,08;803,20;1492,90;14,30
2008M01;2445,52;193,37;7061,02;2608,14;16337,27;27689,55;2340,11;889,60;1583,30;15,91
2008M02;2776,93;186,12;7887,69;3079,88;17210,00;27955,48;2438,14;922,30;1999,67;17,57
2008M03;3005,29;197,12;8439,29;3008,58;19803,95;31225,26;2511,47;968,43;2025,19;19,32
2008M04;2959,27;195,95;8684,93;2822,75;21658,64;28763,18;2263,80;909,71;1988,41;17,50
2008M05;2902,90;192,95;8382,75;2234,63;24062,25;25735,00;2182,10;888,66;2052,45;17,06
2008M06;2957,86;183,93;8260,60;1863,05;22229,29;22549,05;1894,48;889,49;2039,24;16,97
2008M07;3071,24;180,50;8414,04;1944,91;23139,35;20160,22;1852,37;939,77;1904,43;18,03
2008M08;2764,38;178,74;7634,70;1923,58;20026,25;18927,75;1723,28;839,03;1485,55;14,64
2008M09;2525,82;139,64;6990,86;1868,36;18368,86;17794,55;1735,48;829,93;1223,18;12,37
2008M10;2121,41;88,67;4925,70;1480,11;14401,74;12139,78;1302,11;806,62;912,57;10,44
2008M11;1852,43;64,95;3717,00;1291,10;13643,50;10701,50;1152,60;760,86;840,30;9,87
2008M12;1490,43;69,98;3071,98;962,88;11240,00;9686,43;1100,57;816,09;839,70;10,29
2009M01;1413,12;72,51;3220,69;1132,74;11372,86;11306,91;1187,41;858,69;947,41;11,27
2009M02;1330,20;75,59;3314,73;1100,53;11039,25;10408,75;1112,08;943,00;1033,25;13,41
2009M03;1335,84;64,07;3749,75;1238,91;10675,91;9696,36;1216,75;924,27;1081,77;13,12
2009M04;1420,85;59,78;4406,55;1383,10;11743,50;11166,00;1378,85;890,20;1165,45;12,48
2009M05;1460,45;62,69;4568,63;1440,16;13793,42;12634,74;1483,79;928,65;1128,67;13,98
2009M06;1573,73;71,66;5013,96;1674,46;14985,68;14960,46;1557,27;945,67;1217,86;14,65
2009M07;1667,96;83,95;5215,54;1678,61;14038,91;15984,57;1578,61;934,23;1162,26;13,36
2009M08;1933,75;97,67;6165,30;1900,10;14869,75;19641,75;1821,68;949,38;1244,57;14,36
2009M09;1834,11;80,71;6196,43;2204,55;14869,09;17473,18;1884,02;996,59;1288,70;16,39
2009M10;1878,57;86,79;6287,98;2240,77;15008,86;18525,23;2071,59;1043,16;1332,77;17,24
2009M11;1949,29;99,26;6675,60;2308,76;14942,38;16991,19;2193,38;1127,04;1400,62;17,82
2009M12;2180,10;105,07;6981,71;2328,52;15546,91;17066,43;2375,95;1134,72;1437,48;17,64
2010M01;2235,15;125,72;7386,25;2368,38;17714,75;18439,25;2434,45;1117,96;1557,90;17,75
2010M02;2048,93;127,49;6848,18;2123,68;16361,75;18976,00;2156,90;1095,41;1520,35;15,87
2010M03;2205,63;139,69;7462,83;2172,09;17549,35;22461,30;2275,07;1113,34;1599,43;17,11
2010M04;2316,73;172,47;7745,08;2264,85;18683,50;26030,75;2366,68;1148,69;1710,50;18,06
2010M05;2040,53;161,35;6837,68;1882,68;17566,05;22008,16;1968,37;1205,43;1624,86;18,43
2010M06;1931,39;143,63;6499,30;1703,96;17319,77;19388,64;1742,84;1232,92;1553,23;18,45
2010M07;1988,27;126,36;6735,25;1836,98;18191,36;19517,50;1843,89;1192,97;1525,59;17,96
2010M08;2118,14;145,34;7283,95;2075,24;20754,76;21413,33;2044,57;1215,81;1540,59;18,39
2010M09;2162,34;140,63;7709,30;2184,23;22701,14;22643,41;2151,41;1270,98;1591,75;20,55
2010M10;2346,57;148,48;8292,41;2379,67;26342,62;23807,38;2372,14;1342,02;1688,69;23,39
2010M11;2333,07;156,10;8469,89;2376,73;25519,09;22909,32;2291,68;1369,89;1692,77;26,54
2010M12;2350,67;163,10;9147,26;2412,93;26163,33;24111,19;2280,93;1390,55;1711,39;29,32
2011M01;2439,53;179,18;9555,70;2601,65;27465,25;25646,25;2371,55;1360,46;1785,43;28,51
2011M02;2508,18;187,18;9867,60;2586,68;31526,00;28252,25;2465,13;1374,68;1825,90;30,78
2011M03;2555,50;169,36;9503,36;2624,02;30590,93;26710,35;2341,48;1423,26;1770,17;35,81
2011M04;2678,11;179,33;9492,79;2701,17;32363,31;26408,33;2362,22;1480,89;1797,90;42,70
2011M05;2596,45;177,05;8959,90;2428,32;28676,45;24236,73;2167,35;1512,58;1786,55;37,34
2011M06;2557,76;170,88;9066,85;2524,99;25519,68;22420,93;2234,47;1529,36;1768,50;35,80
2011M07;2525,43;172,98;9650,46;2681,02;27398,10;23847,95;2397,75;1572,75;1759,76;37,92
2011M08;2379,35;177,50;9000,76;2397,28;24042,43;21845,09;2200,17;1759,01;1804,70;40,33
2011M09;2293,46;177,23;8300,14;2287,67;22526,60;20377,59;2075,22;1772,14;1748,11;38,15
2011M10;2180,65;150,43;7394,19;1960,38;21868,64;19039,05;1871,42;1666,43;1535,19;31,97
2011M11;2079,98;135,54;7581,02;1994,22;21291,70;17873,00;1935,32;1739,00;1596,98;33,08
2011M12;2022,25;136,39;7565,48;2022,35;19375,01;18266,76;1904,73;1639,97;1454,59;30,30
2012M01;2144,20;140,26;8040,47;2096,16;21438,63;19854,77;1981,86;1654,05;1499,32;30,65
2012M02;2207,92;140,40;8441,49;2121,26;24293,31;20393,67;2057,79;1744,82;1657,76;34,14
2012M03;2184,16;144,66;8470,78;2056,69;22985,43;18660,81;2035,92;1675,95;1655,41;32,95
2012M04;2049,67;147,64;8289,48;2071,07;22200,62;17939,79;2002,14;1649,20;1585,81;31,53
2012M05;2007,63;136,61;7955,64;2012,82;20405,24;17068,19;1936,00;1589,04;1470,70;28,72
2012M06;1890,18;134,66;7423,02;1854,15;19271,07;16549,14;1858,70;1598,76;1443,86;27,98
2012M07;1876,25;127,94;7584,26;1881,48;18546,09;16128,41;1847,75;1594,29;1425,82;27,43
2012M08;1845,38;107,50;7515,53;1900,62;18772,62;15735,21;1818,16;1630,31;1453,26;28,80
2012M09;2064,12;99,47;8087,74;2177,67;20771,26;17287,96;2009,85;1744,81;1623,65;33,61
2012M10;1974,30;113,95;8062,03;2141,97;21233,70;17168,74;1903,96;1746,58;1635,83;33,19
2012M11;1948,83;120,35;7711,23;2181,97;20713,07;16335,36;1912,40;1721,64;1576,36;32,77
2012M12;2086,76;128,51;7966,49;2279,80;22880,89;17448,50;2040,43;1684,76;1582,25;31,87
