month,aluminum,cobalt,copper,iron ore,lead,molybdenum,nickel,tin,uranium,zinc,dt_ym,dt_y,dt_m
Jan 1994,1170.0,20750.0,1807.07136699066,11.45,491.404754638672,,5584.0478515625,4950.71412927856,9.45,998.59521484375,1994-01-01,1994,1
Feb 1994,1270.52502441406,21166.6660308838,1865.07501472778,11.45,484.450012207031,,5830.10009765625,5442.45008562927,9.45,969.75,1994-02-01,1994,2
Mar 1994,1287.69567871094,24416.6660308838,1913.17391866455,11.45,451.086944580078,,5590.4345703125,5405.52162415466,9.3,937.608703613281,1994-03-01,1994,3
Apr 1994,1277.28942871094,24875.0,1881.36846713562,11.45,440.421051025391,,5400.26318359375,5383.05257147217,9.25,924.342102050781,1994-04-01,1994,4
May 1994,1321.04760742188,23562.5,2144.50007046051,11.45,475.857147216797,,6082.85693359375,5493.47632770691,9.25,956.714294433594,1994-05-01,1994,5
Jun 1994,1402.36364746094,24375.0,2363.09102303009,11.45,524.477294921875,,6287.04541015625,5497.63622927551,9.25,966.0,1994-06-01,1994,6
Jul 1994,1491.95239257813,23524.9996185303,2447.23803404999,11.45,579.047607421875,,6230.5712890625,5300.95254420166,9.1,962.642883300781,1994-07-01,1994,7
Aug 1994,1457.06823730469,22437.5,2409.74997397766,11.45,570.568176269531,,5856.13623046875,5173.31831375122,9.05,946.909118652344,1994-08-01,1994,8
Sep 1994,1571.09094238281,25500.0,2504.84103139343,11.45,612.954528808594,,6370.681640625,5318.72715839233,9.45,993.545471191406,1994-09-01,1994,9
Oct 1994,1694.26196289063,27333.3339691162,2546.02375416412,11.45,640.642883300781,,6735.85693359375,5479.28570116882,9.5,1059.54760742188,1994-10-01,1994,10
Nov 1994,1885.88635253906,26687.5,2803.54541098175,11.45,679.321044921875,,7474.54541015625,6139.09096548462,9.6,1150.27270507813,1994-11-01,1994,11
Dec 1994,1878.375,29250.0,2980.69999645081,11.45,634.375,,8540.650390625,5935.50001380005,10.4,1112.75,1994-12-01,1994,12
Jan 1995,2059.35717773438,30375.0,3003.26189506836,12.27,664.809509277344,,9596.1904296875,6187.61911367188,10.775,1154.8095703125,1995-01-01,1995,1
Feb 1995,1905.44995117188,30000.0,2870.45015814514,12.27,577.799987792969,,8431.25,5431.00009616699,11.15,1030.67504882813,1995-02-01,1995,2
Mar 1995,1799.97827148438,28437.5,2919.67397804871,12.27,582.04345703125,,7522.39111328125,5516.30431739197,11.8,1021.69567871094,1995-03-01,1995,3
Apr 1995,1849.44445800781,27937.5,2894.88882296448,12.27,605.777770996094,,7405.0,5854.44416690063,11.85,1059.13891601563,1995-04-01,1995,4
May 1995,1765.47619628906,29000.0,2771.57125569763,12.27,595.880981445313,,7262.380859375,5924.52400956421,11.9,1036.61901855469,1995-05-01,1995,5
Jun 1995,1775.79541015625,27850.0003814697,2987.68194348755,12.27,610.272705078125,,7877.27294921875,6646.81828855591,11.7,1007.77270507813,1995-06-01,1995,6
Jul 1995,1867.27502441406,27399.9996185303,3076.4500581665,12.27,622.400024414063,,8618.0,6640.75033574219,11.7,1028.05505371094,1995-07-01,1995,7
Aug 1995,1890.04541015625,28812.5,3040.13619641418,12.27,623.386352539063,,8931.818359375,6966.13631591797,11.7,1015.47729492188,1995-08-01,1995,8
Sep 1995,1761.72497558594,29045.0000762939,2910.42504276428,12.27,591.25,,8397.25,6333.7498690979,11.85,988.025024414063,1995-09-01,1995,9
